"articles/5008b0b61a44426e8ac4fb2e68878bc2/title/","Assessment"
"articles/5008b0b61a44426e8ac4fb2e68878bc2/_trickle/_button/text/","Continue"
"articles/5008b0b61a44426e8ac4fb2e68878bc2/_trickle/_button/startText/","Begin"
"articles/5008b0b61a44426e8ac4fb2e68878bc2/_trickle/_button/finalText/","Finish"
"articles/695588cc71444df8b8f859f5b01015a4/title/","New Article Title"
"articles/b651177913314f9ab6d366da96964261/_trickle/_button/text/","Continue"
"articles/b651177913314f9ab6d366da96964261/_trickle/_button/startText/","Begin"
"articles/b651177913314f9ab6d366da96964261/_trickle/_button/finalText/","Finish"
"articles/c5ae80e097b04c70955a4a889cf7b22c/title/","Article title"
"articles/ee84b4cf8f824d66b282f17bfd908599/title/","Assessment"
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/assessprocessing/scores/PreText/","Here is how you performed in each of the Learning Objectives and Skills associated with this assessment."
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/assessprocessing/scores/default_smv_decvar/title/","Domain Knowledge - Standard Score"
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/assessprocessing/scores/smv_decvar/0/title/","Cybersecurity Concepts"
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/assessprocessing/scores/smv_decvar/1/title/","Cybersecurity Protection"
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/SmvCollection/0/smvTitle/","Domain Knowledge - Standard Score"
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/SmvCollection/1/smvTitle/","Cybersecurity Concepts"
"articles/ee84b4cf8f824d66b282f17bfd908599/_smvWiseScoring/SmvCollection/2/smvTitle/","Cybersecurity Protection"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/instructionText/","Click 'Submit' if you are happy with your answers above."
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/unlimitedAttemptsRemaining/","Unlimited attempts remaining"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/noAttemptsRemaining/","No attempts remaining"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/submissionError/","Please answer all the above questions before clicking 'Submit'"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/onSubmitInstruction/","You've submitted your answers!"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/submitAnyWayLabel/","Do you want to submit the quiz anyways?"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/unAnsweredQuestionsLabel/","Unanswered question number:"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/_feedback/pass/","<p>You have passed!</p>"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentSingleSubmit/_feedback/fail/attemptsRemaining/","<p>You have failed. Try again!</p>"
"articles/ee84b4cf8f824d66b282f17bfd908599/_assessmentReview/buttonLable/","Review Assessment"
"articles/ee84b4cf8f824d66b282f17bfd908599/_trickle/_button/text/","Continue"
"articles/ee84b4cf8f824d66b282f17bfd908599/_trickle/_button/startText/","Begin"
"articles/ee84b4cf8f824d66b282f17bfd908599/_trickle/_button/finalText/","Finish"
