"components/66477ffe9a57a20762b44463/title/","Título do novo componente"
"components/66477ffe9a57a20762b44463/_html/","<h2>Avaliação final.</h2><strong> Parabéns por chegar até aqui. Você está quase no fim do primeiro curso.</strong>

<p>Depois de fazer a avaliação final, você estará pronto para ir para o segundo curso.</p>"
"components/6656f750886e2d110c1ab1d1/title/","Questão"
"components/6656f750886e2d110c1ab1d1/displayTitle/","Questão"
"components/6656f750886e2d110c1ab1d1/body/","<p>Windows e Android são exemplos de quê?</p>"
"components/6656f750886e2d110c1ab1d1/_items/0/text/","Sistemas operacionais"
"components/6656f750886e2d110c1ab1d1/_items/1/text/","Navegadores"
"components/6656f750886e2d110c1ab1d1/_items/2/text/","Ambientes digitais"
"components/6656f750886e2d110c1ab1d1/_items/3/text/","Ferramentas especiais"
"components/6656f75a361e1f10735620dc/title/","Questão"
"components/6656f75a361e1f10735620dc/displayTitle/","Questão"
"components/6656f75a361e1f10735620dc/body/","<p>Qual foi uma das principais funções da Web 2.0?</p>"
"components/6656f75a361e1f10735620dc/_items/0/text/","O aumento da interatividade dos sites"
"components/6656f75a361e1f10735620dc/_items/1/text/","As velocidades de conexão reduzidas"
"components/6656f75a361e1f10735620dc/_items/2/text/","Os sites estáticos em apenas texto"
"components/6656f75a361e1f10735620dc/_items/3/text/","A falta de conteúdo em vídeo"
"components/6656f764886e2d110c1ab1d3/title/","Questão"
"components/6656f764886e2d110c1ab1d3/displayTitle/","Questão"
"components/6656f764886e2d110c1ab1d3/body/","<p>O que é a Internet das Coisas (IoT)?</p>"
"components/6656f764886e2d110c1ab1d3/_items/0/text/","Incorporar objetos do cotidiano com a tecnologia para conectá-los à Internet"
"components/6656f764886e2d110c1ab1d3/_items/1/text/","Os serviços de comércio eletrônico vendendo uma variedade de produtos"
"components/6656f764886e2d110c1ab1d3/_items/2/text/","Mais velocidade de Internet"
"components/6656f764886e2d110c1ab1d3/_items/3/text/","Hardwares permitindo a conexão com a Internet"
"components/6656f76de2f1800f7c9cc751/title/","Questão"
"components/6656f76de2f1800f7c9cc751/displayTitle/","Questão"
"components/6656f76de2f1800f7c9cc751/body/","<p>Onde você pode encontrar ícones como data e hora, navegador, estado da bateria ou conexão de rede?</p>"
"components/6656f76de2f1800f7c9cc751/_items/0/text/","Na barra de tarefas"
"components/6656f76de2f1800f7c9cc751/_items/1/text/","Em seu espaço de armazenamento"
"components/6656f76de2f1800f7c9cc751/_items/2/text/","Nas configurações avançadas"
"components/6656f76de2f1800f7c9cc751/_items/3/text/","Na interface do sistema"
"components/6656f778e2f1800f7c9cc753/title/","Questão"
"components/6656f778e2f1800f7c9cc753/displayTitle/","Questão"
"components/6656f778e2f1800f7c9cc753/body/","<p>Que tipo de senha não é digitada?</p>"
"components/6656f778e2f1800f7c9cc753/_items/0/text/","Biométrica"
"components/6656f778e2f1800f7c9cc753/_items/1/text/","Gerada pelo sistema"
"components/6656f778e2f1800f7c9cc753/_items/2/text/","Baseada em padrões"
"components/6656f778e2f1800f7c9cc753/_items/3/text/","Alfanumérica"
"components/6656f783886e2d110c1ab1d5/title/","Questão"
"components/6656f783886e2d110c1ab1d5/displayTitle/","Questão"
"components/6656f783886e2d110c1ab1d5/body/","<p>Como você pode renomear uma pasta que já existe?</p>"
"components/6656f783886e2d110c1ab1d5/_items/0/text/","Clicando com o botão direito na pasta e selecionando ""renomear"" na lista de opções"
