"components/66477f4a307a3406f2360a6f/title/","Question"
"components/66477f4a307a3406f2360a6f/displayTitle/","Question"
"components/66477f4a307a3406f2360a6f/body/","<p>Windows and Android are examples of what?</p>"
"components/66477f4a307a3406f2360a6f/_items/0/text/","Operating systems"
"components/66477f4a307a3406f2360a6f/_items/1/text/","Web browsers"
"components/66477f4a307a3406f2360a6f/_items/2/text/","Digital environments"
"components/66477f4a307a3406f2360a6f/_items/3/text/","Specialized tools"
"components/66477ffe9a57a20762b44463/title/","New Component Title"
"components/66477ffe9a57a20762b44463/_html/","<h2>Final Assessment.</h2><strong> Well done for reaching this point. You're almost at the end of course one.</strong>

<p>Once you've completed the Final Assessment, you'll be ready to move on to course two.</p>"
"components/664780d5dd4699068be08824/title/","Question"
"components/664780d5dd4699068be08824/displayTitle/","Question"
"components/664780d5dd4699068be08824/body/","<p>Who was one of the first to use Web 2.0?</p>"
"components/664780d5dd4699068be08824/_items/0/text/","Amazon"
"components/664780d5dd4699068be08824/_items/1/text/","YouTube"
"components/664780d5dd4699068be08824/_items/2/text/","Facebook"
"components/664780d5dd4699068be08824/_items/3/text/","Instagram"
"components/6647814264b7ce079a1833db/title/","Question"
"components/6647814264b7ce079a1833db/displayTitle/","Question"
"components/6647814264b7ce079a1833db/body/","<p>What is Project Gutenberg?</p>"
"components/6647814264b7ce079a1833db/_items/0/text/","A massive library of free books"
"components/6647814264b7ce079a1833db/_items/1/text/","A subscription service"
"components/6647814264b7ce079a1833db/_items/2/text/","An educational platform"
"components/6647814264b7ce079a1833db/_items/3/text/","A government website"
"components/664781be64b7ce079a1833dd/title/","Question"
"components/664781be64b7ce079a1833dd/displayTitle/","Question"
"components/664781be64b7ce079a1833dd/body/","<p>Where can you find icons such as date and time, web browser, battery status or internet connection?</p>"
"components/664781be64b7ce079a1833dd/_items/0/text/","The taskbar"
"components/664781be64b7ce079a1833dd/_items/1/text/","In your storage space"
"components/664781be64b7ce079a1833dd/_items/2/text/","In advanced settings"
"components/664781be64b7ce079a1833dd/_items/3/text/","In the system interface"
"components/66478238307a3406f2360a74/title/","Question"
"components/66478238307a3406f2360a74/displayTitle/","Question"
"components/66478238307a3406f2360a74/body/","<p>Which type of password is not typed?</p>"
"components/66478238307a3406f2360a74/_items/0/text/","Biometric"
"components/66478238307a3406f2360a74/_items/1/text/","System-generated"
"components/66478238307a3406f2360a74/_items/2/text/","Pattern-based"
"components/66478238307a3406f2360a74/_items/3/text/","Alphanumeric"
"components/66478244dd4699068be08825/title/","Question"
"components/66478244dd4699068be08825/displayTitle/","Question"
"components/66478244dd4699068be08825/body/","<p>How can you rename an existing folder?</p>"
"components/66478244dd4699068be08825/_items/0/text/","By right-clicking the folder and selecting ""rename"" from the drop-down menu"
"components/66478244dd4699068be08825/_items/1/text/","By double-clicking the folder and selecting ""rename"" from the drop-down menu"
"components/66478244dd4699068be08825/_items/2/text/","By dragging and dropping the folder"
"components/66478244dd4699068be08825/_items/3/text/","By left-clicking the folder and selecting ""rename"" from the drop-down menu"
"components/6647825064b7ce079a1833de/title/","Question"
"components/6647825064b7ce079a1833de/displayTitle/","Question"
