"components/66324d7dbb711404eef89ad8/title/","New Component Title"
"components/66324d7dbb711404eef89ad8/_graphic/alt/","DL Logo with border"
"components/66324d87640ad40496a30a1f/title/","New Component Title"
"components/66324e3f640ad40496a30a21/title/","Advanced search with a web browser."
"components/66324e3f640ad40496a30a21/body/","<p>Watch the video, then complete the exercises.</p>"
"components/66324e3f640ad40496a30a21/_timestamp/label/","Timestamps"
"components/66324e3f640ad40496a30a21/_transcript/inlineTranscriptButton/","View transcript"
"components/66324e3f640ad40496a30a21/_transcript/inlineTranscriptCloseButton/","Close"
"components/66324e3f640ad40496a30a21/_transcript/inlineTranscriptBody/","<p dir=""ltr""><strong>Every day, millions of searches are conducted, but sometimes finding precisely what you need can be like looking for a needle in a haystack. That's where search functions come in. Let's take a look at how it works, and how you can find anything on the internet.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>First up, you need to go to a search engine. These are websites that allow you to search for the things that you want and will deliver a page full of potentially useful results based on the text that you enter. When you open the browser, it might already go to the default search engine. If not, then enter the address of the search engine in the address bar. You can copy and paste it from the text in this course. You can also change the default search engine in the settings menu. Click or tap Settings, then click or tap Search Engine, then choose your favorite.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Now, type something into the search bar and press Enter or tap Go. You'll get a list of websites that the search engine thinks are relevant to your search, as well as related searches. You can also specify your searches by type. You can search for images, videos, or shopping results.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Let's do something more advanced. Let's use quotes. When you're looking for an exact phrase or specific terminology, placing your query in quotes tells the search engine to fetch pages with that exact wording.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Next, excluding words. By placing a minus sign before a word, you exclude it from your search results. This is perfect for narrowing down results when you're bombarded with irrelevant information.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Focusing your search on a single website can often yield better results. Use ""site:"" followed by the URL. This function is invaluable for academic research or when you trust a particular source for reliable information.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Searching for specific file types? ""filetype:"" is your go-to operator. Whether it's PDFs, PPTs, or Docs, this function streamlines finding downloadable resources.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>You can also specify how far back you want your search to go. Just go to Tools or Search Tools and select a time frame.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>If you can master these search operators, you'll be able to find exactly what you're looking for quickly and with precision.</strong></p>"
"components/66324e3f640ad40496a30a21/_transcript/transcriptLinkButton/","Download transcript"
"components/66324ea6422efe0538469bb1/title/","Questions related to the video"
"components/66324ff58ab214054816ff6b/title/","Question 1"
"components/66324ff58ab214054816ff6b/displayTitle/","Question 1"
"components/66324ff58ab214054816ff6b/body/","<p>What can help when your search is more specific and not just general?</p>"
"components/66324ff58ab214054816ff6b/_items/0/text/","Using quotes to be more exact"
"components/66324ff58ab214054816ff6b/_items/1/text/","Writing a longer search request"
"components/66324ff58ab214054816ff6b/_items/2/text/","Asking only for advanced functions"
"components/66324ff58ab214054816ff6b/_items/3/text/","Using very basic sentences"
"components/66324ff58ab214054816ff6b/_feedback/correct/","<p dir=""ltr"">That&rsquo;s right.</p>"
"components/66324ff58ab214054816ff6b/_feedback/_incorrect/final/","<p dir=""ltr"">That&rsquo;s not right.</p><p dir=""ltr"">Go back, reset and try again.</p>"
"components/66324ff58ab214054816ff6b/_feedback/_partlyCorrect/final/","<p dir=""ltr"">That&rsquo;s not right.</p><p dir=""ltr"">Go back, reset and try again.</p>"
"components/66325086640ad40496a30a22/title/","Question 2"
"components/66325086640ad40496a30a22/displayTitle/","Question 2"
"components/66325086640ad40496a30a22/body/","<p>How can minus signs be useful when searching?</p>"
"components/66325086640ad40496a30a22/_items/0/text/","They can help to reduce the number of results by excluding words"
"components/66325086640ad40496a30a22/_items/1/text/","They prevent you from bombarding your search engine"
"components/66325086640ad40496a30a22/_items/2/text/","They tell the search engine to fetch more pages"
"components/66325086640ad40496a30a22/_items/3/text/","They reduce the need for specific terminology"
"components/66325086640ad40496a30a22/_feedback/correct/","<p dir=""ltr"">That&rsquo;s right.</p>"
"components/66325086640ad40496a30a22/_feedback/_incorrect/final/","<p dir=""ltr"">That&rsquo;s not right.</p><p dir=""ltr"">Go back, reset and try again.</p>"
"components/66325086640ad40496a30a22/_feedback/_partlyCorrect/final/","<p dir=""ltr"">That&rsquo;s not right.</p><p dir=""ltr"">Go back, reset and try again.</p>"
"components/66325115422efe0538469bb3/title/","Question 3"
"components/66325115422efe0538469bb3/displayTitle/","Question 3"
"components/66325115422efe0538469bb3/body/","<p>How can using ‘OR’ and ‘AND’ affect your search results?</p>"
"components/66325115422efe0538469bb3/_items/0/text/","They change the scope of your search according to need"
"components/66325115422efe0538469bb3/_items/1/text/","They let you know exactly which scope you should use"
"components/66325115422efe0538469bb3/_items/2/text/","They broaden everything to include more possibilities"
"components/66325115422efe0538469bb3/_items/3/text/","They narrow everything to refine your need for results"
"components/66325115422efe0538469bb3/_feedback/correct/","<p dir=""ltr"">That&rsquo;s right.</p>"
"components/66325115422efe0538469bb3/_feedback/_incorrect/final/","<p dir=""ltr"">That&rsquo;s not right.</p><p dir=""ltr"">Go back, reset and try again.</p>"
